Date,AAPL,MSFT,GOOGL,GOOG,AMZN,META,TSLA,NVDA,ORCL,INTC,CRM,ADBE,CSCO,AMD,IBM
2024-05-09,183.70260620117188,409.1959533691406,169.15130615234375,170.77114868164062,189.5,473.69189453125,171.97000122070312,88.71784973144531,115.35174560546875,29.90032386779785,273.5692443847656,482.6499938964844,46.39664077758789,152.38999938964844,162.4571990966797
2024-05-10,182.4368438720703,411.5976257324219,167.84751892089844,169.4872283935547,187.47999572753906,474.4690856933594,168.47000122070312,89.84847259521484,115.38141632080078,29.66183853149414,275.06048583984375,482.2900085449219,46.65876770019531,151.9199981689453,163.31700134277344
2024-05-13,185.65602111816406,410.5853576660156,168.33518981933594,170.0943603515625,186.57000732421875,466.3088684082031,171.88999938964844,90.36930847167969,115.08472442626953,30.317676544189453,275.905517578125,483.1099853515625,47.26068878173828,150.55999755859375,163.7176055908203
2024-05-14,186.8021697998047,413.40380859375,169.52947998046875,171.11949157714844,187.07000732421875,470.1348571777344,177.5500030517578,91.32599639892578,119.53502655029297,30.854272842407227,275.189697265625,475.95001220703125,47.52281951904297,153.16000366210938,163.52218627929688
2024-05-15,189.0845184326172,420.6317443847656,171.68914794921875,173.060302734375,185.99000549316406,479.7896728515625,173.99000549316406,94.5988998413086,120.28662109375,31.072887420654297,285.86724853515625,485.3500061035156,48.221824645996094,159.6699981689453,164.40155029296875
2024-05-16,189.2041015625,418.5538330078125,173.3511962890625,174.60299682617188,183.6300048828125,471.5098571777344,174.83999633789062,94.3280029296875,120.8107681274414,31.828094482421875,283.02386474609375,482.8800048828125,46.930606842041016,162.6199951171875,165.0952606201172
2024-05-17,189.23399353027344,417.7783203125,175.2222900390625,176.45423889160156,184.6999969482422,470.1946716308594,177.4600067138672,92.4486083984375,122.13597106933594,31.629356384277344,283.9484558105469,483.42999267578125,46.765560150146484,164.47000122070312,165.1538848876953
2024-05-20,190.40008544921875,422.878662109375,176.0781707763672,177.6187286376953,183.5399932861328,467.1358337402344,174.9499969482422,94.74887084960938,123.14469909667969,31.897653579711914,285.3999938964844,484.69000244140625,45.755882263183594,166.3300018310547,166.0234832763672
2024-05-21,191.70570373535156,426.5572509765625,177.00376892089844,178.693603515625,183.14999389648438,462.9411315917969,186.60000610351562,95.35466766357422,123.25348663330078,31.5399227142334,282.1092224121094,481.8500061035156,45.57141876220703,164.66000366210938,169.49208068847656
2024-05-22,190.2605438232422,428.0286865234375,175.540771484375,177.160888671875,183.1300048828125,466.07965087890625,180.11000061035156,94.91880798339844,123.22382354736328,31.221940994262695,282.16888427734375,483.92999267578125,46.04713821411133,165.52000427246094,169.70703125
2024-05-23,186.25401306152344,424.5290832519531,172.72422790527344,174.2347412109375,181.0500030517578,464.08697509765625,173.74000549316406,103.7649154663086,122.7194595336914,29.8903865814209,276.9494323730469,483.30999755859375,45.2413330078125,160.42999267578125,166.7562713623047
2024-05-24,189.3436279296875,427.6707763671875,174.15736389160156,175.49876403808594,180.75,476.4817199707031,179.24000549316406,106.43402862548828,121.552490234375,30.526351928710938,270.7059631347656,475.42999267578125,45.06658172607422,166.36000061035156,166.9712371826172
2024-05-28,189.3535919189453,427.8298645019531,175.56063842773438,177.18080139160156,182.14999389648438,478.1755676269531,176.75,113.86357879638672,123.11502838134766,30.86421012878418,268.26025390625,478.42999267578125,44.9306640625,171.61000061035156,165.76943969726562
2024-05-29,189.652587890625,426.6865234375,175.06304931640625,176.56370544433594,182.02000427246094,472.6357421875,176.19000244140625,114.78727722167969,122.37332916259766,29.94007110595703,270.0398254394531,477.6000061035156,44.73649978637695,165.13999938964844,163.2192840576172
2024-05-30,190.6492462158203,412.2704162597656,171.29107666015625,172.7418212890625,179.32000732421875,465.3523254394531,178.7899932861328,110.46369171142578,115.79676055908203,29.99969482421875,216.74172973632812,445.8699951171875,44.77532958984375,166.75,161.8318634033203
2024-05-31,191.60601806640625,412.7277526855469,171.67919921875,173.13992309570312,176.44000244140625,465.13311767578125,178.0800018310547,109.59699249267578,115.89566802978516,30.655534744262695,233.07615661621094,444.760009765625,45.144248962402344,166.89999389648438,163.02389526367188
2024-06-03,193.38006591796875,411.1270446777344,172.3460235595703,173.59776306152344,178.33999633789062,475.7543640136719,176.2899932861328,114.96221923828125,117.96257781982422,30.099063873291016,235.2434539794922,439.0199890136719,45.28987503051758,163.5500030517578,161.48988342285156
2024-06-04,193.69900512695312,413.6623229980469,172.96307373046875,174.30441284179688,179.33999633789062,475.2561950683594,174.77000427246094,116.39875030517578,118.74385070800781,29.8407039642334,233.49368286132812,448.3699951171875,46.03742599487305,159.99000549316406,162.00772094726562
2024-06-05,195.21389770507812,421.5563659667969,174.5753631591797,176.2352752685547,181.27999877929688,493.2605285644531,175.0,122.3997802734375,121.27557373046875,30.585975646972656,235.15399169921875,455.79998779296875,44.678245544433594,166.1699981689453,163.541748046875
2024-06-06,193.82855224609375,422.0633850097656,175.88906860351562,177.50924682617188,185.0,491.96527099609375,177.94000244140625,120.958251953125,122.13597106933594,30.22824478149414,241.34771728515625,458.1300048828125,44.88212203979492,166.77999877929688,164.34292602539062
2024-06-07,196.23046875,421.3973083496094,173.62986755371094,175.12054443359375,184.3000030517578,491.16815185546875,177.47999572753906,120.8482894897461,124.52924346923828,30.546226501464844,240.4430389404297,465.42999267578125,44.50349807739258,167.8699951171875,166.11141967773438
2024-06-10,192.47311401367188,425.39404296875,174.37716674804688,175.99740600585938,187.05999755859375,500.77313232421875,173.7899932861328,121.74999237060547,123.12493133544922,30.71515464782715,240.43309020996094,459.94000244140625,44.51320266723633,160.33999633789062,166.4729461669922
2024-06-11,206.4561004638672,430.1761779785156,175.98135375976562,177.5518035888672,187.22999572753906,505.6254577636719,170.66000366210938,120.88021850585938,122.51177215576172,30.7250919342041,239.58802795410156,462.69000244140625,44.43553924560547,158.9600067138672,165.437255859375
2024-06-12,212.35629272460938,438.5076904296875,177.14710998535156,178.91690063476562,186.88999938964844,506.99041748046875,177.2899932861328,125.16915130615234,138.82955932617188,30.56610107421875,234.42822265625,459.8699951171875,44.28990936279297,160.24000549316406,165.1245880126953
